epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,656.63,1.51708,2.75419,1.25555,0.19489,0.13882,0.16473,0.10897,1.25823,1.32204,1.12553,0.000262026,0.000262026,0.000262026
2,1413.18,1.31911,1.34597,1.16496,0.28285,0.1479,0.21343,0.15117,1.22381,1.14102,1.08622,0.000524898,0.000524898,0.000524898
3,2674.58,1.2713,1.22611,1.13407,0.30178,0.18481,0.24206,0.17192,1.17006,1.03866,1.06396,0.000525486,0.000525486,0.000525486
4,4492.12,1.23557,1.16016,1.11503,0.2917,0.15655,0.22292,0.16485,1.14009,1.02819,1.04721,0.000524844,0.000524844,0.000524844
5,6692.68,1.21915,1.11987,1.10814,0.31759,0.20803,0.2617,0.18454,1.13378,0.99064,1.05805,0.000523947,0.000523947,0.000523947
