epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4642,1.10951,0.84862,1.11347,0.51022,0.55637,0.56273,0.37744,1.11407,0.81972,1.0332,0.008614,0.008614,0.008614
44,4749.65,1.11082,0.8446,1.10954,0.54432,0.51744,0.5465,0.36944,1.11786,0.82829,1.03527,0.008581,0.008581,0.008581
45,4857.43,1.10768,0.83987,1.10976,0.52447,0.55789,0.54832,0.35878,1.1106,0.81226,1.03143,0.008548,0.008548,0.008548
46,4964.9,1.10265,0.83836,1.11057,0.56981,0.51768,0.55865,0.37517,1.12295,0.82274,1.03179,0.008515,0.008515,0.008515
47,5072.59,1.09399,0.8331,1.10817,0.5231,0.58501,0.56565,0.37983,1.1005,0.8132,1.02529,0.008482,0.008482,0.008482
48,5180.32,1.0939,0.82893,1.10658,0.5385,0.57577,0.55345,0.36143,1.14328,0.82936,1.0356,0.008449,0.008449,0.008449
49,5288.06,1.09026,0.82903,1.10616,0.52291,0.56889,0.56787,0.38284,1.12969,0.80786,1.03326,0.008416,0.008416,0.008416
50,5395.53,1.09297,0.82306,1.10441,0.54564,0.57342,0.5629,0.37437,1.115,0.80578,1.03907,0.008383,0.008383,0.008383
51,5503.16,1.09206,0.82572,1.10169,0.49119,0.59413,0.55069,0.36158,1.12716,0.81966,1.0331,0.00835,0.00835,0.00835
52,5610.84,1.08776,0.82166,1.10087,0.5865,0.55734,0.55892,0.37233,1.11814,0.81574,1.02816,0.008317,0.008317,0.008317
53,5718.64,1.09263,0.81861,1.10187,0.53115,0.59983,0.56213,0.38486,1.0981,0.8086,1.02423,0.008284,0.008284,0.008284
54,5826.28,1.0811,0.81316,1.09916,0.52118,0.57088,0.5452,0.36831,1.09782,0.80625,1.02699,0.008251,0.008251,0.008251
55,5933.99,1.08948,0.82305,1.10422,0.52561,0.5707,0.53917,0.35113,1.13601,0.80482,1.02983,0.008218,0.008218,0.008218
56,6041.55,1.08408,0.81716,1.09915,0.56933,0.56788,0.56214,0.37183,1.11285,0.81346,1.02685,0.008185,0.008185,0.008185
57,6149.11,1.07988,0.81048,1.09591,0.49735,0.63936,0.55846,0.37645,1.10503,0.80433,1.0252,0.008152,0.008152,0.008152
58,6256.61,1.07185,0.80505,1.09416,0.49771,0.64709,0.55806,0.37483,1.11652,0.80173,1.02623,0.008119,0.008119,0.008119
59,6364.39,1.0769,0.80537,1.09504,0.51391,0.58543,0.54266,0.36161,1.09344,0.8082,1.02182,0.008086,0.008086,0.008086
60,6471.96,1.07684,0.80338,1.097,0.54325,0.65828,0.58043,0.38554,1.10333,0.80872,1.02532,0.008053,0.008053,0.008053
61,6579.7,1.06872,0.80378,1.09432,0.58376,0.52525,0.53975,0.3594,1.11433,0.80186,1.02889,0.00802,0.00802,0.00802
