epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1203.28,1.16795,0.9875,1.10606,0.39561,0.03629,0.21871,0.16799,1.10747,0.87165,1.04818,0.000526,0.000526,0.000526
2,4427.17,1.14529,0.94688,1.09203,0.44849,0.05363,0.25073,0.20154,1.08644,0.85329,1.03883,0.000421852,0.000421852,0.000421852
3,10242.4,1.12744,0.93096,1.08833,0.42706,0.06181,0.2491,0.19505,1.10568,0.85522,1.04501,0.000317704,0.000317704,0.000317704
