epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1409.12,1.25899,1.01307,1.16527,0.44533,0.4113,0.39079,0.23576,1.24364,0.94267,1.04866,0.008581,0.008581,0.008581
45,1439.72,1.25939,1.01467,1.16433,0.52751,0.41211,0.37487,0.22751,1.22736,0.94838,1.04613,0.008548,0.008548,0.008548
46,1470.14,1.26001,1.01343,1.16587,0.54394,0.39663,0.39783,0.24187,1.23082,0.94469,1.0499,0.008515,0.008515,0.008515
47,1504.36,1.25793,1.00903,1.16063,0.56539,0.36247,0.39843,0.24362,1.22785,0.93933,1.05316,0.008482,0.008482,0.008482
48,1534.96,1.25493,1.00299,1.1591,0.5532,0.43253,0.41433,0.25285,1.263,0.94192,1.05112,0.008449,0.008449,0.008449
49,1566,1.25248,1.00599,1.16413,0.58358,0.38648,0.40492,0.24336,1.25484,0.94999,1.05397,0.008416,0.008416,0.008416
50,1596.78,1.24883,1.00705,1.16196,0.62503,0.4202,0.39344,0.24028,1.21227,0.94977,1.04531,0.008383,0.008383,0.008383
51,1627.39,1.24534,0.99485,1.16086,0.6347,0.42955,0.41139,0.25073,1.25087,0.92982,1.05054,0.00835,0.00835,0.00835
52,1658.01,1.2481,0.9959,1.15746,0.69158,0.40419,0.4096,0.25324,1.2384,0.93742,1.05545,0.008317,0.008317,0.008317
53,1688.56,1.24017,0.98852,1.15662,0.58662,0.41081,0.41064,0.25629,1.20664,0.92669,1.04182,0.008284,0.008284,0.008284
54,1719.28,1.24096,0.98908,1.15467,0.62974,0.38202,0.4078,0.25488,1.21174,0.92122,1.03853,0.008251,0.008251,0.008251
55,1750.17,1.24088,0.99049,1.15622,0.65353,0.3868,0.40757,0.2519,1.23372,0.93383,1.04937,0.008218,0.008218,0.008218
56,1780.65,1.24022,0.99668,1.15446,0.51113,0.41794,0.40682,0.25455,1.2082,0.92703,1.03767,0.008185,0.008185,0.008185
57,1811.33,1.24274,0.98649,1.15566,0.64225,0.41631,0.41235,0.25696,1.20741,0.91297,1.04274,0.008152,0.008152,0.008152
58,1842.06,1.23614,0.98419,1.15233,0.76185,0.37119,0.40517,0.25224,1.2339,0.92755,1.04746,0.008119,0.008119,0.008119
59,1872.55,1.23239,0.9889,1.15373,0.62254,0.40781,0.41408,0.25897,1.22224,0.90865,1.04177,0.008086,0.008086,0.008086
60,1903.28,1.23289,0.97891,1.15226,0.6572,0.41663,0.42597,0.25618,1.2415,0.90937,1.04764,0.008053,0.008053,0.008053
61,1933.94,1.23646,0.99266,1.15481,0.59696,0.44773,0.41799,0.25843,1.21977,0.90064,1.04097,0.00802,0.00802,0.00802
62,1964.81,1.23682,0.98761,1.15269,0.64912,0.38177,0.40442,0.25137,1.22151,0.93019,1.04297,0.007987,0.007987,0.007987
63,1995.55,1.23669,0.98372,1.15238,0.65458,0.40819,0.42262,0.26056,1.20308,0.91804,1.03894,0.007954,0.007954,0.007954
64,2026.36,1.22437,0.98164,1.14852,0.60269,0.4036,0.41797,0.26498,1.20983,0.92186,1.03915,0.007921,0.007921,0.007921
65,2057.29,1.21988,0.97518,1.14622,0.59698,0.47671,0.42458,0.2613,1.21565,0.91218,1.04522,0.007888,0.007888,0.007888
66,2088,1.21985,0.97845,1.15106,0.62658,0.42397,0.42197,0.26419,1.20724,0.91867,1.04419,0.007855,0.007855,0.007855
67,2118.73,1.21879,0.96981,1.14795,0.66532,0.40731,0.43295,0.28101,1.16626,0.9012,1.03256,0.007822,0.007822,0.007822
68,2149.77,1.21882,0.96583,1.14726,0.59915,0.40669,0.4251,0.26326,1.19568,0.90832,1.0371,0.007789,0.007789,0.007789
69,2180.67,1.21521,0.9682,1.14741,0.68171,0.40555,0.42983,0.26654,1.19896,0.91939,1.04022,0.007756,0.007756,0.007756
70,2211.65,1.22384,0.96779,1.14575,0.63511,0.45264,0.4285,0.26374,1.19439,0.89418,1.032,0.007723,0.007723,0.007723
71,2242.69,1.2157,0.95909,1.13994,0.64456,0.40629,0.42536,0.26519,1.2019,0.88773,1.03817,0.00769,0.00769,0.00769
72,2273.49,1.21862,0.96717,1.14534,0.65465,0.42401,0.4277,0.2712,1.18969,0.90514,1.03301,0.007657,0.007657,0.007657
73,2304.99,1.21258,0.96485,1.14439,0.54643,0.42513,0.40185,0.24727,1.21723,0.92084,1.04719,0.007624,0.007624,0.007624
74,2336.28,1.20669,0.95729,1.139,0.64479,0.43122,0.43619,0.27453,1.18132,0.88527,1.03038,0.007591,0.007591,0.007591
75,2368.76,1.22011,0.9691,1.14796,0.65455,0.39905,0.43534,0.27659,1.18201,0.89957,1.03678,0.007558,0.007558,0.007558
76,2400.25,1.21695,0.96547,1.1443,0.6758,0.45017,0.46341,0.28553,1.19101,0.90276,1.03663,0.007525,0.007525,0.007525
77,2431.45,1.21294,0.95534,1.14001,0.52482,0.44617,0.44204,0.27873,1.18184,0.89212,1.03156,0.007492,0.007492,0.007492
78,2467.3,1.21842,0.96709,1.14515,0.55365,0.43485,0.44167,0.27488,1.1819,0.89221,1.03142,0.007459,0.007459,0.007459
79,2498.97,1.21357,0.96495,1.14435,0.44728,0.47077,0.447,0.28302,1.17864,0.89346,1.02749,0.007426,0.007426,0.007426
80,2530.59,1.20496,0.94987,1.13839,0.60371,0.44709,0.46103,0.28533,1.20095,0.88718,1.03702,0.007393,0.007393,0.007393
81,2561.82,1.20539,0.95537,1.13951,0.56732,0.44251,0.4362,0.27562,1.17467,0.89077,1.02882,0.00736,0.00736,0.00736
82,2593.28,1.20339,0.96096,1.14103,0.61935,0.41595,0.45439,0.28722,1.17743,0.88915,1.03056,0.007327,0.007327,0.007327
83,2624.55,1.20258,0.95802,1.13807,0.42796,0.49376,0.44499,0.27423,1.15753,0.8862,1.02766,0.007294,0.007294,0.007294
84,2656.4,1.20574,0.95399,1.13808,0.63232,0.44583,0.47754,0.29939,1.16504,0.88256,1.02414,0.007261,0.007261,0.007261
85,2687.86,1.20953,0.95477,1.13809,0.49124,0.43362,0.43949,0.27877,1.17675,0.88251,1.02884,0.007228,0.007228,0.007228
