epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6101.85,1.04617,0.74264,1.07412,0.51031,0.58551,0.54793,0.36672,1.11451,0.80513,1.03924,0.008614,0.008614,0.008614
44,6242.7,1.04186,0.73397,1.07106,0.53525,0.59433,0.55069,0.36539,1.15896,0.82174,1.04382,0.008581,0.008581,0.008581
45,6383.69,1.038,0.73042,1.06791,0.55631,0.58731,0.5657,0.37651,1.11605,0.80699,1.02986,0.008548,0.008548,0.008548
46,6524.81,1.03587,0.72934,1.0653,0.53676,0.58874,0.55232,0.37166,1.11302,0.82083,1.03079,0.008515,0.008515,0.008515
47,6665.67,1.02775,0.72334,1.0615,0.52957,0.53628,0.55004,0.3665,1.10506,0.80149,1.01915,0.008482,0.008482,0.008482
48,6806.65,1.02347,0.71587,1.06091,0.54974,0.61157,0.55896,0.37111,1.1232,0.8151,1.03384,0.008449,0.008449,0.008449
49,6947.5,1.02215,0.7145,1.059,0.57214,0.58034,0.55216,0.36956,1.11983,0.80044,1.02467,0.008416,0.008416,0.008416
50,7088.51,1.02031,0.71416,1.05968,0.58023,0.58688,0.58139,0.38639,1.10454,0.80661,1.02641,0.008383,0.008383,0.008383
51,7229.54,1.02157,0.71308,1.06018,0.55181,0.55443,0.54579,0.36459,1.10833,0.80093,1.02363,0.00835,0.00835,0.00835
52,7370.25,1.01505,0.70843,1.05671,0.5604,0.56549,0.56226,0.37143,1.10491,0.79522,1.03472,0.008317,0.008317,0.008317
53,7511.26,1.01231,0.70038,1.0559,0.54314,0.60073,0.54746,0.36027,1.10125,0.79717,1.03057,0.008284,0.008284,0.008284
54,7652.05,1.00379,0.69667,1.05392,0.57041,0.60163,0.56443,0.38222,1.10534,0.79369,1.02698,0.008251,0.008251,0.008251
55,7792.99,1.00358,0.69288,1.05046,0.51556,0.62994,0.56302,0.37341,1.10345,0.7956,1.02703,0.008218,0.008218,0.008218
56,7933.93,1.0022,0.69374,1.05145,0.53838,0.61046,0.56904,0.38424,1.11245,0.79514,1.02489,0.008185,0.008185,0.008185
57,8074.76,0.99142,0.68516,1.04658,0.53985,0.58786,0.5611,0.37718,1.10641,0.78565,1.02289,0.008152,0.008152,0.008152
58,8215.87,0.99769,0.68609,1.04693,0.55457,0.61326,0.56185,0.37873,1.11474,0.80446,1.03002,0.008119,0.008119,0.008119
59,8356.76,0.99166,0.68119,1.04669,0.51122,0.59243,0.54213,0.36397,1.11028,0.79626,1.03138,0.008086,0.008086,0.008086
60,8497.55,0.99304,0.68337,1.04764,0.56743,0.56704,0.55222,0.3683,1.10868,0.78549,1.02641,0.008053,0.008053,0.008053
61,8638.49,0.98461,0.67498,1.0443,0.53495,0.56798,0.53746,0.36015,1.09745,0.78058,1.02504,0.00802,0.00802,0.00802
62,8779.3,0.98458,0.67006,1.03909,0.52211,0.60228,0.55206,0.37147,1.106,0.79771,1.02752,0.007987,0.007987,0.007987
63,8920.2,0.97579,0.66498,1.03794,0.55344,0.60163,0.54451,0.36197,1.10687,0.79979,1.02597,0.007954,0.007954,0.007954
64,9061.07,0.98317,0.66672,1.03792,0.51044,0.58752,0.53315,0.35859,1.10965,0.78329,1.02292,0.007921,0.007921,0.007921
65,9201.84,0.97745,0.66624,1.03812,0.53881,0.57369,0.55189,0.37034,1.11191,0.79126,1.02548,0.007888,0.007888,0.007888
66,9342.8,0.97082,0.65555,1.03224,0.49349,0.62556,0.56727,0.38032,1.10959,0.79133,1.02174,0.007855,0.007855,0.007855
67,9483.54,0.96468,0.6542,1.03358,0.55907,0.54546,0.56368,0.37623,1.10626,0.79181,1.0286,0.007822,0.007822,0.007822
68,9624.28,0.97122,0.65894,1.03528,0.55229,0.56933,0.55824,0.37396,1.10239,0.78555,1.02151,0.007789,0.007789,0.007789
69,9765.35,0.96612,0.65468,1.03154,0.52079,0.62758,0.5581,0.37505,1.09952,0.78515,1.02171,0.007756,0.007756,0.007756
70,9906.25,0.962,0.64782,1.02829,0.52153,0.56193,0.53001,0.36319,1.09773,0.79422,1.02177,0.007723,0.007723,0.007723
