epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1869.44,1.30159,1.44406,1.20529,0.6545,0.209,0.18001,0.11554,1.18727,1.01187,1.11225,0.0001749,0.0001749,0.0001749
2,5373.56,1.19058,0.99796,1.12861,0.51134,0.10195,0.11411,0.07185,1.18179,0.94025,1.10015,0.000346766,0.000346766,0.000346766
3,10639.1,1.18079,0.96923,1.12028,0.37232,0.07671,0.0807,0.05333,1.13307,0.90279,1.09879,0.000515161,0.000515161,0.000515161
4,17130.4,1.15393,0.93851,1.10988,0.39554,0.04753,0.06054,0.0403,1.13204,0.87723,1.08584,0.000510378,0.000510378,0.000510378
