epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1196.01,1.08219,0.83777,1.02075,0.55841,0.46439,0.47676,0.31149,1.04576,0.80171,0.98484,0.000312497,0.000312497,0.000312497
43,1224.11,1.08244,0.83119,1.02206,0.50409,0.43933,0.46051,0.3053,1.06258,0.81366,0.98985,0.000307289,0.000307289,0.000307289
44,1252.36,1.08326,0.82468,1.01845,0.52834,0.46366,0.46464,0.31139,1.04267,0.80635,0.98545,0.000302082,0.000302082,0.000302082
45,1280.48,1.07761,0.82845,1.02053,0.45859,0.47303,0.47897,0.31556,1.05469,0.80885,0.98717,0.000296874,0.000296874,0.000296874
46,1308.64,1.07052,0.8207,1.01749,0.66003,0.43318,0.47213,0.31031,1.03151,0.80301,0.98516,0.000291667,0.000291667,0.000291667
47,1336.8,1.07121,0.81432,1.01365,0.66665,0.48091,0.48036,0.31667,1.03696,0.79613,0.98334,0.00028646,0.00028646,0.00028646
48,1364.98,1.07587,0.81684,1.01884,0.52591,0.50341,0.49589,0.32762,1.03902,0.79658,0.98513,0.000281252,0.000281252,0.000281252
49,1393.19,1.06673,0.81387,1.01315,0.51173,0.48309,0.47322,0.31253,1.05589,0.81256,0.99273,0.000276045,0.000276045,0.000276045
50,1421.24,1.06508,0.80892,1.0171,0.54355,0.4628,0.48468,0.32291,1.04414,0.79922,0.98566,0.000270837,0.000270837,0.000270837
51,1449.42,1.06434,0.80498,1.01265,0.59627,0.48877,0.48017,0.31957,1.04936,0.818,0.98953,0.00026563,0.00026563,0.00026563
52,1477.6,1.06501,0.80618,1.0123,0.53227,0.47994,0.48846,0.3237,1.04715,0.80319,0.98646,0.000260423,0.000260423,0.000260423
53,1505.72,1.06597,0.79765,1.01141,0.46551,0.51526,0.49243,0.32644,1.05025,0.79451,0.98883,0.000255215,0.000255215,0.000255215
54,1533.85,1.05823,0.79773,1.008,0.48518,0.53798,0.50055,0.3276,1.05534,0.80661,0.9884,0.000250008,0.000250008,0.000250008
55,1561.91,1.05764,0.79583,1.01014,0.50603,0.50221,0.50358,0.33454,1.04571,0.78855,0.98813,0.0002448,0.0002448,0.0002448
56,1590.05,1.06394,0.79744,1.01147,0.67208,0.4268,0.48681,0.3258,1.04535,0.79248,0.98647,0.000239593,0.000239593,0.000239593
57,1618.12,1.05859,0.79109,1.00779,0.65164,0.46135,0.50205,0.33493,1.05108,0.79689,0.99036,0.000234386,0.000234386,0.000234386
58,1646.21,1.05726,0.79067,1.00966,0.58634,0.45884,0.5114,0.34032,1.04807,0.80217,0.99413,0.000229178,0.000229178,0.000229178
59,1674.32,1.04862,0.78343,1.00511,0.56979,0.48647,0.50044,0.33494,1.04248,0.78873,0.98989,0.000223971,0.000223971,0.000223971
60,1702.52,1.05395,0.78527,1.00542,0.4607,0.47481,0.49071,0.32902,1.04313,0.79777,0.98718,0.000218763,0.000218763,0.000218763
61,1730.62,1.04569,0.77519,1.00046,0.58897,0.45484,0.48658,0.32381,1.04064,0.79014,0.98865,0.000213556,0.000213556,0.000213556
62,1758.68,1.04263,0.77653,1.00387,0.61703,0.4734,0.4741,0.31893,1.04035,0.79604,0.98733,0.000208349,0.000208349,0.000208349
63,1786.81,1.04415,0.78063,1.00467,0.52316,0.48622,0.48573,0.32806,1.04328,0.79618,0.98819,0.000203141,0.000203141,0.000203141
64,1814.99,1.04486,0.76891,1.00118,0.56795,0.45186,0.4888,0.32784,1.04629,0.8053,0.98834,0.000197934,0.000197934,0.000197934
65,1843.06,1.03828,0.77045,1.00174,0.63687,0.45428,0.48886,0.32784,1.03522,0.79232,0.98538,0.000192726,0.000192726,0.000192726
66,1871.05,1.03947,0.77096,1.00337,0.56706,0.45794,0.49827,0.33209,1.03471,0.79369,0.98796,0.000187519,0.000187519,0.000187519
67,1899.18,1.03874,0.7664,1.00126,0.60322,0.47601,0.49696,0.33319,1.05014,0.79696,0.99543,0.000182312,0.000182312,0.000182312
68,1927.22,1.04039,0.77033,1.00308,0.54087,0.45832,0.49967,0.33741,1.04427,0.78872,0.98996,0.000177104,0.000177104,0.000177104
69,1955.24,1.0323,0.76158,1.00112,0.66687,0.44318,0.49261,0.3293,1.03682,0.79128,0.98226,0.000171897,0.000171897,0.000171897
70,1983.29,1.03802,0.76275,0.99926,0.56445,0.47789,0.50606,0.33722,1.04209,0.78814,0.98735,0.000166689,0.000166689,0.000166689
71,2011.42,1.03755,0.7659,0.99949,0.60378,0.45386,0.5064,0.33582,1.03387,0.78651,0.98191,0.000161482,0.000161482,0.000161482
72,2039.37,1.0243,0.75781,0.99767,0.67825,0.46141,0.51061,0.33333,1.03278,0.78368,0.98534,0.000156275,0.000156275,0.000156275
73,2067.44,1.03132,0.75871,0.9977,0.5748,0.45857,0.50969,0.33982,1.0386,0.79087,0.98696,0.000151067,0.000151067,0.000151067
