epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6180.94,1.02604,0.72058,1.06609,0.5321,0.5814,0.55776,0.37154,1.13358,0.80525,1.02892,0.008614,0.008614,0.008614
44,6324.25,1.02173,0.71316,1.06091,0.52137,0.53997,0.53766,0.35482,1.12911,0.81363,1.02599,0.008581,0.008581,0.008581
45,6467.42,1.01128,0.70602,1.06051,0.51974,0.57118,0.56388,0.38545,1.11558,0.80237,1.02586,0.008548,0.008548,0.008548
46,6611.1,1.00766,0.70001,1.05484,0.52486,0.53452,0.53749,0.35483,1.10639,0.8138,1.02569,0.008515,0.008515,0.008515
47,6754.56,1.00743,0.70162,1.05474,0.50098,0.61003,0.54927,0.36331,1.10635,0.79875,1.02062,0.008482,0.008482,0.008482
48,6897.94,1.00506,0.70099,1.05598,0.49606,0.61284,0.54729,0.35703,1.09627,0.79513,1.01507,0.008449,0.008449,0.008449
49,7041.43,1.0021,0.69343,1.0522,0.5641,0.56364,0.55045,0.36342,1.10399,0.7906,1.02045,0.008416,0.008416,0.008416
50,7184.83,0.99506,0.69055,1.05094,0.54232,0.59695,0.56743,0.37805,1.09277,0.79711,1.01751,0.008383,0.008383,0.008383
51,7328.36,0.98955,0.68231,1.04617,0.57375,0.57658,0.56601,0.3798,1.09771,0.79534,1.01682,0.00835,0.00835,0.00835
52,7471.71,0.98933,0.68219,1.05014,0.55198,0.53778,0.56161,0.37006,1.10374,0.79278,1.02422,0.008317,0.008317,0.008317
53,7615.02,0.98991,0.68107,1.05001,0.52161,0.59628,0.54905,0.36526,1.10989,0.79592,1.02643,0.008284,0.008284,0.008284
54,7758.44,0.98535,0.68007,1.04507,0.51137,0.61509,0.56,0.37818,1.0945,0.79282,1.0241,0.008251,0.008251,0.008251
55,7901.8,0.97927,0.6708,1.04219,0.49061,0.63293,0.55909,0.37132,1.11765,0.79957,1.02422,0.008218,0.008218,0.008218
56,8045.33,0.977,0.66913,1.04249,0.5677,0.55505,0.5487,0.36179,1.10418,0.79316,1.02327,0.008185,0.008185,0.008185
57,8188.54,0.97788,0.67141,1.04251,0.50529,0.57526,0.54487,0.36353,1.10891,0.7854,1.02375,0.008152,0.008152,0.008152
58,8331.98,0.97246,0.66419,1.04332,0.54236,0.56169,0.55491,0.36804,1.09522,0.7924,1.02183,0.008119,0.008119,0.008119
59,8475.43,0.96914,0.6572,1.03852,0.5776,0.54513,0.55933,0.37567,1.10007,0.78848,1.0221,0.008086,0.008086,0.008086
60,8618.81,0.96445,0.65092,1.03454,0.52785,0.56296,0.54499,0.36779,1.09586,0.78749,1.01745,0.008053,0.008053,0.008053
61,8762.25,0.96416,0.65532,1.03629,0.52489,0.58012,0.54119,0.36486,1.09069,0.78594,1.0153,0.00802,0.00802,0.00802
62,8905.36,0.96099,0.65278,1.03731,0.54508,0.57478,0.56154,0.37753,1.08613,0.78248,1.01603,0.007987,0.007987,0.007987
63,9048.82,0.96033,0.65086,1.03248,0.53158,0.58343,0.567,0.38485,1.09266,0.78518,1.02404,0.007954,0.007954,0.007954
64,9192.12,0.95532,0.64542,1.03218,0.56763,0.591,0.56885,0.38095,1.09946,0.78709,1.02158,0.007921,0.007921,0.007921
65,9335.25,0.95133,0.64294,1.02895,0.57291,0.55197,0.5821,0.39351,1.08339,0.77321,1.00757,0.007888,0.007888,0.007888
66,9478.58,0.95142,0.64103,1.02724,0.59322,0.55145,0.56582,0.3855,1.09868,0.77961,1.02096,0.007855,0.007855,0.007855
67,9621.61,0.94744,0.63727,1.02956,0.51669,0.58184,0.55417,0.37314,1.08755,0.77873,1.02547,0.007822,0.007822,0.007822
68,9764.97,0.94371,0.63491,1.02705,0.56406,0.5674,0.57551,0.38394,1.09551,0.78541,1.02281,0.007789,0.007789,0.007789
69,9908.24,0.93699,0.62531,1.02145,0.49064,0.60794,0.56388,0.37853,1.09624,0.78138,1.02131,0.007756,0.007756,0.007756
70,10051.5,0.94147,0.63211,1.02422,0.52627,0.57816,0.55365,0.36611,1.08419,0.77509,1.01421,0.007723,0.007723,0.007723
71,10194.8,0.9371,0.62662,1.02287,0.54003,0.57044,0.56189,0.37886,1.09571,0.77824,1.01629,0.00769,0.00769,0.00769
72,10337.8,0.93795,0.62939,1.0257,0.53563,0.55531,0.5434,0.36316,1.10287,0.78314,1.02234,0.007657,0.007657,0.007657
73,10481.2,0.93841,0.6295,1.02634,0.52616,0.56761,0.54624,0.36938,1.0905,0.77756,1.02282,0.007624,0.007624,0.007624
74,10624.5,0.93229,0.62388,1.02109,0.58157,0.54243,0.55369,0.37344,1.09332,0.77506,1.02692,0.007591,0.007591,0.007591
